case_id,unit_id,source_text,eligible,detected,correct,placed,observed_text,notes
menu_ru@multiscale=0,ru001,ЗАКУСКИ,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru002,Набор брускетт,1,1,0,0,", BBF will accelerate,",same output as baseline
menu_ru@multiscale=0,ru003,"/рыба, мясо, печенные овощи/",1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru004,Антипасти рыбное,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru005,Антипасти мясное,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru006,Антипасти сырное,1,1,0,0,Amphipasta raw,same output as baseline
menu_ru@multiscale=0,ru007,Вителло Тонато,1,1,0,0,Vitel,same output as baseline
menu_ru@multiscale=0,ru008,Аджапсандали,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru009,Паштет из куриной печени,1,1,1,0,"Chicken liver pate,",same output as baseline
menu_ru@multiscale=0,ru010,САЛАТЫ,1,1,1,1,Salads,same output as baseline
menu_ru@multiscale=0,ru011,Салат с уткой и винной грушей,1,0,0,0,,lost: no OCR region/card
menu_ru@multiscale=0,ru012,Сельдь под шубой,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru013,Цезарь с креветками,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru014,Цезарь с курицей,1,1,1,0,Caesar with chicken.,same output as baseline
menu_ru@multiscale=0,ru015,Греческий с крымским луком и орехами,1,0,0,0,,lost: no OCR region/card
menu_ru@multiscale=0,ru016,Салат с томленой свининой,1,1,1,0,Salad with tomlar pork,BORDERLINE correct (tomlar = braised); changed output
menu_ru@multiscale=0,ru017,СУПЫ,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru018,Борщ с говядиной и густой сметаной,1,1,1,0,Borsch with beef and sour cream,same output as baseline
menu_ru@multiscale=0,ru019,Томленые щи из квашеной капусты,1,1,0,0,Tomlar soup from Sayash but Iva Sl.,same output as baseline
menu_ru@multiscale=0,ru020,Свекольник рыбный с красной фасолью,1,1,0,0,Fish ring with a row to the race,same output as baseline
menu_ru@multiscale=0,ru021,Минестроне на курином бульоне,1,1,0,0,Ming EstrS M is not on Caoin 6 Pupitsa.,same output as baseline
menu_ru@multiscale=0,ru022,Суп-гуляш из говядины,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru023,Том-ям с креветками,1,1,1,0,Tom-yam with shrimp,same output as baseline
menu_ru@multiscale=0,ru024,ПАСТА / ПИЦЦЫ,1,1,1,0,Pasta / Pizza,same output as baseline
menu_ru@multiscale=0,ru025,Спагетти болоньезе,1,1,1,0,Spaghetti boponese,same output as baseline
menu_ru@multiscale=0,ru026,Фетучини карбонара,1,1,0,0,PHOTS LEYS CORBONAR,same output as baseline
menu_ru@multiscale=0,ru027,Пенне ала-аррабиата,1,1,1,0,Penna Vla-Arrabiat,BORDERLINE correct (penne arrabbiata); changed output
menu_ru@multiscale=0,ru028,Пицца маргарита,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru029,Пицца четыре сыра,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru030,Пицца пепперони,1,1,1,0,Pizza Pepperoni:,same output as baseline
menu_ru@multiscale=0,ru031,ХЛЕБ,1,1,1,0,Bread,clipped to 'Brea' by neighbouring card; changed output
menu_ru@multiscale=0,ru032,Белый классический,1,1,1,0,White classic.,same output as baseline
menu_ru@multiscale=0,ru033,Ржаной классический,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru034,Багет пшеничный,1,1,1,0,F Baguets Wheat,same output as baseline
menu_ru@multiscale=0,ru035,МЯСО/ПТИЦА/РЫБА,1,1,1,1,Meat / bird / fish,same output as baseline
menu_ru@multiscale=0,ru036,Котлеты из щуки с пюре из батата,1,1,1,0,Pikeballs from pike with mashed potato,same output as baseline
menu_ru@multiscale=0,ru037,Филе судака с картофельным гратеном,1,1,0,0,Pickup fillet with a potato grage,same output as baseline
menu_ru@multiscale=0,ru038,Котлеты из оленины с пюре из моркови,1,1,0,0,Cutlets: From the Openings with the Gurea of Carrot,same output as baseline
menu_ru@multiscale=0,ru039,Стейк из говядины с листьями и свежими,1,1,0,0,Steak is ridden with leaves and fresh,same output as baseline
menu_ru@multiscale=0,ru040,овощами,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru041,Рулька свиная с тушеной капустой,1,0,0,0,,lost: no OCR region/card
menu_ru@multiscale=0,ru042,Ножка ягненка конфи с шафраном,1,0,0,0,,lost: no OCR region/card
menu_ru@multiscale=0,ru043,Таджин из ягненка,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru044,Шашлык из свинины с крымским луком,1,1,0,0,Swishl from the Om Om Pork Om # 88 and: 550,same output as baseline
menu_ru@multiscale=0,ru045,Шашлык из говядины с болгарским перцем,1,1,0,0,Ashshlk from beef with bottle-seeker 20/50/07 p 850,changed output
menu_ru@multiscale=0,ru046,Шашлык из баранины с курдючным салом,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru047,Шашлык из куриного бедра,1,1,0,0,Mo Far from Chicken Beor,same output as baseline
menu_ru@multiscale=0,ru048,РОЛЛЫ,1,0,0,0,,lost: no OCR region/card
menu_ru@multiscale=0,ru049,Филадельфия с лососем,1,1,1,0,Philadelphia with salmon,same output as baseline
menu_ru@multiscale=0,ru050,Калифорния с крабом,1,1,0,0,CABOR CORBOR,same output as baseline
menu_ru@multiscale=0,ru051,Филадельфия с угрем,1,1,1,0,Philadelphia with eel,same output as baseline
menu_ru@multiscale=0,ru052,Запеченный ролл калифорния,1,1,1,0,Baked California Roll,clipped; changed output
menu_ru@multiscale=0,ru053,Запеченный ролл сливочный лосось,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru054,Запеченный ролл спайси лосось,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru055,Запеченный ролл спайси угорь,1,1,0,0,Behind the bunk roll of the bathroom eel,same output as baseline
menu_ru@multiscale=0,ru056,БУРГЕРЫ,1,0,0,0,,lost: no OCR region/card
menu_ru@multiscale=0,ru057,Бургер с говяжьей котлетой и свежими,1,1,1,0,Burgers Beef Cutlet and Fresh,same output as baseline
menu_ru@multiscale=0,ru058,овощами,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru059,Бургер с томленой свининой и печеными,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru060,овощами,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru061,Бургер с куриным бедром су-вид,1,1,1,0,Burger with chicken thigh Su-View,same output as baseline
menu_ru@multiscale=0,ru062,ДЕСЕРТЫ,1,0,0,0,,lost: no OCR region/card
menu_ru@multiscale=0,ru063,Медовик,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru064,Наполеон,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru065,Чизкейк,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru066,Французские булочки,1,1,1,0,French buns,same output as baseline
menu_ru@multiscale=0,ru067,Мороженое в ассортименте,1,1,1,0,Ice cream in assortment,same output as baseline
menu_ru@multiscale=0,ru068,Охотничья Усадьба,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru069,МЕНЮ,1,0,0,0,,same output as baseline
menu_ru@multiscale=0,ru070,ДОМАШНИЕ,1,1,1,0,Homemade,covers next line; changed output
menu_ru@multiscale=0,ru071,ЛИМОНАДЫ,1,1,1,0,Lemonade,same output as baseline
menu_ru@multiscale=0,ru072,Грейпфрут / Розмарин,1,0,0,0,,same output as baseline
